Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,maxPlace,numGroups,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
47734,1659463,47734,0,0,100,1,0,0,59,1000,0,0,0,50,45,0,0,0,0,1,0,422,7,1500
47735,1659508,47735,0,1,400,2,0,3,9,1200,4,2,15,48,47,1,0,0,0,0,0,656,4,1526
47736,1659555,47736,0,0,0,0,0,0,72,1216,0,0,0,29,28,0,0,0,0,0,0,75,1,1475
47737,1659621,47737,0,0,69,0,0,0,68,1177,0,0,0,97,92,0,0,0,0,0,0,167,2,1464
47738,1659675,47738,0,1,371,3,0,1,45,1013,1,1,6,27,26,0,0,0,0,0,0,147,3,1505
47739,1659704,47739,0,0,0,0,0,0,87,1009,0,0,0,28,26,0,0,0,0,0,0,0,0,1481
47740,1659746,47740,0,1,100,1,0,0,37,1020,1,1,3,29,28,1,0,0,0,0,0,143,2,1465
47741,1659788,47741,0,0,40,0,0,0,72,1181,0,0,0,48,47,0,0,0,0,0,0,198,2,1488
47742,1659822,47742,0,3,264,2,1,3,2,1118,5,2,93,17,17,0,927,0,0,0,0,2095,6,1491
47743,1659868,47743,0,0,51,0,0,0,64,1131,0,0,0,99,96,0,0,0,0,0,0,329,3,1500
47744,1659932,47744,0,5,459,2,0,13,3,1000,4,1,223,18,18,0,7097,0,0,0,0,1553,5,1500
47745,1659957,47745,0,0,0,0,0,0,92,1163,0,0,0,28,27,0,0,0,0,0,0,32,0,1434
47746,1659976,47746,0,0,203,1,0,0,36,1000,1,1,2,23,22,0,0,0,0,0,0,453,3,1500
47747,1659995,47747,1,0,352,3,0,1,8,1232,4,2,7,27,26,1,0,0,0,0,0,377,3,1561
47748,1660017,47748,0,1,224,1,0,0,29,1000,1,1,7,20,20,2,0,0,0,0,0,352,2,1500
47749,1660037,47749,0,3,49,1,0,5,24,1000,1,1,16,49,47,0,2605,0,0,0,0,1307,5,1500
47750,1660152,47750,1,1,447,2,1,0,4,1164,4,1,209,48,48,0,0,0,0,0,0,1873,5,1506
47751,1660157,47751,0,3,128,0,0,1,21,1000,1,1,5,18,18,0,0,0,0,0,0,2042,2,1500
47752,1660210,47752,0,0,177,1,0,0,43,1000,1,1,32,49,47,0,0,0,0,0,0,52,2,1500
47753,1660236,47753,2,3,304,5,0,8,4,1235,4,1,188,23,22,0,0,0,0,0,0,3625,7,1526
47754,1660251,47754,0,1,14,0,0,0,57,1000,0,0,0,22,21,0,0,0,0,0,0,125,2,1500
47755,1660278,47755,0,0,128,0,0,1,77,1000,0,0,0,31,30,0,0,0,0,0,0,296,3,1500
47756,1660306,47756,0,0,75,0,0,0,66,1000,0,0,0,23,23,0,0,0,0,0,0,102,1,1500
47757,1660317,47757,3,7,311,1,0,0,5,1673,3,1,110,26,25,0,1879,0,0,0,0,3818,7,1792
47758,1660409,47758,0,0,0,0,0,0,74,969,0,0,0,95,89,0,0,0,0,0,0,98,0,1483
47759,1660440,47759,2,1,426,3,1,0,7,1116,4,1,88,29,28,0,0,0,0,0,0,440,5,1451
47760,1660492,47760,0,1,247,1,0,0,29,1081,1,1,8,49,49,0,0,0,0,0,0,1101,6,1484
47761,1660546,47761,2,1,322,1,0,5,33,991,1,1,56,49,47,0,0,0,0,0,0,1204,4,1494
47762,1660602,47762,1,1,200,1,0,2,12,1138,2,1,7,30,26,0,0,0,0,0,0,2163,7,1523
47763,1660619,47763,0,0,0,0,0,0,77,966,0,0,0,26,26,0,133,0,0,0,0,944,1,1479
47764,1660654,47764,1,2,57,0,0,1,45,1231,0,0,0,27,26,1,0,0,66,0,0,3620,4,1576
47765,1660679,47765,1,6,330,2,0,1,8,1196,4,1,106,27,26,0,36,0,0,0,0,2517,5,1541
47766,1660686,47766,0,0,0,0,0,0,57,1052,0,0,0,28,27,0,0,0,0,0,0,159,2,1499
47767,1660725,47767,0,0,100,1,0,0,79,1195,0,0,0,28,27,0,0,0,0,0,0,55,2,1556
47768,1660765,47768,0,0,0,0,0,1,50,1178,0,0,0,27,27,0,2289,0,0,0,0,2011,5,1543
47769,1660830,47769,0,0,32,0,0,1,77,1016,0,0,0,98,93,0,0,0,0,0,0,309,3,1480
47770,1660901,47770,1,1,368,3,3,7,9,1220,3,2,32,28,28,1,0,0,0,0,0,2415,3,1451
47771,1660923,47771,0,2,373,2,0,0,7,1000,3,2,12,21,19,0,0,0,0,0,0,560,2,1500
47772,1660926,47772,0,0,0,0,0,0,44,1144,0,0,0,28,28,0,529,0,0,0,0,1927,6,1470
47773,1660979,47773,0,1,180,3,1,1,9,1229,3,1,156,29,28,0,0,0,0,0,0,1595,3,1492
47774,1661019,47774,0,0,0,0,0,0,92,1156,0,0,0,48,45,0,0,0,0,0,0,0,0,1534
47775,1661032,47775,0,0,0,0,0,0,66,986,0,0,0,29,27,0,0,0,0,0,0,30,0,1492
47776,1661063,47776,1,7,194,1,0,6,11,1140,2,1,43,45,43,0,2073,0,0,0,0,4460,5,1497
47777,1661099,47777,0,0,0,0,0,0,57,1017,0,0,0,30,27,0,0,0,17,0,0,932,5,1508
47778,1661201,47778,0,0,93,0,0,0,82,1070,0,0,0,98,95,0,0,0,0,0,0,57,2,1506
